stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,hcp30,0,12,15,1.10,true,0.08775,0.00316,0.36553,2.31336,0.00559,1.3473,0.1318,1.2808,0.22146,0.00604
10,hcp30,0,12,15,1.20,true,0.08538,0.00312,0.39102,2.34503,0.00565,1.4265,0.1137,1.3647,0.25313,0.00625
10,hcp30,0,12,20,0.00,true,0.05287,0.00250,0.24603,2.21258,0.00425,0.7915,0.5167,0.8884,0.00000,0.00000
10,hcp30,0,12,20,0.10,true,0.05450,0.00254,0.25215,2.21780,0.00432,0.8482,0.4782,0.9067,0.00522,0.00121
10,hcp30,0,12,20,0.20,true,0.05550,0.00256,0.26076,2.22647,0.00439,0.9051,0.4403,0.9323,0.01388,0.00184
10,hcp30,0,12,20,0.30,true,0.05638,0.00258,0.27153,2.23770,0.00447,0.9594,0.4020,0.9642,0.02512,0.00232
10,hcp30,0,12,20,0.40,true,0.05688,0.00259,0.28438,2.25171,0.00456,1.0253,0.3712,1.0028,0.03913,0.00280
10,hcp30,0,12,20,0.50,true,0.05825,0.00262,0.29890,2.26682,0.00467,1.0853,0.3370,1.0484,0.05424,0.00325
10,hcp30,0,12,20,0.60,true,0.05862,0.00263,0.31492,2.28469,0.00477,1.1485,0.3061,1.0987,0.07211,0.00367
10,hcp30,0,12,20,0.70,true,0.05763,0.00261,0.33268,2.30599,0.00484,1.2155,0.2782,1.1541,0.09341,0.00408
10,hcp30,0,12,20,0.80,true,0.05538,0.00256,0.35131,2.32965,0.00488,1.2834,0.2526,1.2129,0.11707,0.00444
10,hcp30,0,12,20,0.90,true,0.05450,0.00254,0.37025,2.35245,0.00495,1.3552,0.2302,1.2767,0.13987,0.00476
10,hcp30,0,12,20,1.00,true,0.05225,0.00249,0.39084,2.37861,0.00499,1.4260,0.2069,1.3456,0.16603,0.00512
10,hcp30,0,12,20,1.10,true,0.05112,0.00246,0.41098,2.40332,0.00504,1.4969,0.1855,1.4172,0.19074,0.00540
10,hcp30,0,12,20,1.20,true,0.04963,0.00243,0.43153,2.42902,0.00508,1.5755,0.1689,1.4922,0.21644,0.00567
10,tour,1,12,10,0.00,true,0.29738,0.00511,0.00006,1.70269,0.00511,0.1622,0.6424,0.1940,0.12735,0.00481
10,tour,1,12,10,0.10,true,0.36638,0.00539,0.00021,1.63384,0.00539,0.2098,0.4287,0.2099,0.05850,0.00382
10,tour,1,12,10,0.20,true,0.41300,0.00550,0.00071,1.58771,0.00551,0.2718,0.2447,0.2620,0.01238,0.00258
10,tour,1,12,10,0.30,true,0.42662,0.00553,0.00196,1.57534,0.00555,0.3444,0.1188,0.3384,0.00000,0.00000
10,tour,1,12,10,0.40,true,0.42688,0.00553,0.00456,1.57769,0.00558,0.4284,0.0489,0.4299,0.00235,0.00214
