stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,mid,0,12,20,0.80,true,0.07362,0.00292,0.14710,2.07361,0.00377,0.8744,0.0711,0.9349,0.10921,0.00330
10,mid,0,12,20,0.90,true,0.07137,0.00288,0.17464,2.10346,0.00385,0.9574,0.0505,1.0209,0.13906,0.00350
10,mid,0,12,20,1.00,true,0.06888,0.00283,0.20408,2.13546,0.00393,1.0456,0.0360,1.1111,0.17106,0.00370
10,mid,0,12,20,1.10,true,0.06413,0.00274,0.23469,2.17090,0.00394,1.1364,0.0271,1.2015,0.20650,0.00385
10,mid,0,12,20,1.20,true,0.05875,0.00263,0.26657,2.20825,0.00393,1.2264,0.0179,1.2943,0.24385,0.00397
10,high,0,12,10,0.00,true,0.14400,0.00393,0.00346,1.85946,0.00394,0.2064,0.5599,0.2662,0.04824,0.00367
10,high,0,12,10,0.10,true,0.17413,0.00424,0.00496,1.83084,0.00427,0.2576,0.4102,0.2862,0.01961,0.00293
10,high,0,12,10,0.20,true,0.19587,0.00444,0.00939,1.81352,0.00450,0.3153,0.2756,0.3307,0.00230,0.00200
10,high,0,12,10,0.30,true,0.20650,0.00453,0.01771,1.81122,0.00465,0.3801,0.1679,0.3947,0.00000,0.00000
10,high,0,12,10,0.40,true,0.20863,0.00454,0.03087,1.82227,0.00476,0.4570,0.1003,0.4727,0.01104,0.00175
10,high,0,12,10,0.50,true,0.20325,0.00450,0.04939,1.84619,0.00485,0.5391,0.0562,0.5585,0.03497,0.00237
10,high,0,12,10,0.60,true,0.19525,0.00443,0.07300,1.87784,0.00494,0.6281,0.0334,0.6488,0.06661,0.00275
10,high,0,12,10,0.70,true,0.18800,0.00437,0.10119,1.91333,0.00505,0.7199,0.0172,0.7438,0.10211,0.00311
10,high,0,12,10,0.80,true,0.17913,0.00429,0.13342,1.95450,0.00515,0.8152,0.0091,0.8404,0.14328,0.00341
10,high,0,12,10,0.90,true,0.16787,0.00418,0.16874,2.00117,0.00522,0.9113,0.0044,0.9373,0.18995,0.00368
10,high,0,12,10,1.00,true,0.15925,0.00409,0.20581,2.04701,0.00531,1.0103,0.0028,1.0356,0.23578,0.00390
10,high,0,12,10,1.10,true,0.15188,0.00401,0.24358,2.09232,0.00539,1.1095,0.0018,1.1345,0.28109,0.00411
10,high,0,12,10,1.20,true,0.14275,0.00391,0.28202,2.14011,0.00543,1.2078,0.0004,1.2333,0.32889,0.00431
10,high,0,12,15,0.00,true,0.07650,0.00297,0.02475,1.94828,0.00311,0.3099,0.5391,0.4215,0.00852,0.00225
10,high,0,12,15,0.10,true,0.08825,0.00317,0.02853,1.94031,0.00333,0.3561,0.4371,0.4387,0.00056,0.00167
10,high,0,12,15,0.20,true,0.09700,0.00331,0.03672,1.93976,0.00353,0.4092,0.3421,0.4730,0.00000,0.00000
10,high,0,12,15,0.30,true,0.09925,0.00334,0.04953,1.95034,0.00365,0.4681,0.2620,0.5199,0.01058,0.00141
10,high,0,12,15,0.40,true,0.10250,0.00339,0.06647,1.96406,0.00381,0.5333,0.1955,0.5795,0.02431,0.00199
10,high,0,12,15,0.50,true,0.10262,0.00339,0.08776,1.98528,0.00395,0.6029,0.1419,0.6484,0.04552,0.00235
10,high,0,12,15,0.60,true,0.10262,0.00339,0.11311,2.01069,0.00409,0.6788,0.1004,0.7261,0.07093,0.00270
10,high,0,12,15,0.70,true,0.10075,0.00337,0.14175,2.04129,0.00422,0.7597,0.0709,0.8090,0.10154,0.00298
10,high,0,12,15,0.80,true,0.09975,0.00335,0.17274,2.07339,0.00436,0.8413,0.0457,0.8965,0.13364,0.00322
10,high,0,12,15,0.90,true,0.09638,0.00330,0.20601,2.11018,0.00446,0.9288,0.0300,0.9869,0.17043,0.00344
10,high,0,12,15,1.00,true,0.09062,0.00321,0.24113,2.15123,0.00450,1.0184,0.0190,1.0789,0.21147,0.00364
10,high,0,12,15,1.10,true,0.08425,0.00311,0.27744,2.19413,0.00451,1.1126,0.0130,1.1731,0.25438,0.00381
10,high,0,12,15,1.20,true,0.07913,0.00302,0.31387,2.23595,0.00453,1.2082,0.0088,1.2688,0.29619,0.00396
10,high,0,12,20,0.00,true,0.04500,0.00232,0.07333,2.02843,0.00274,0.4083,0.5247,0.5984,0.00000,0.00000
10,high,0,12,20,0.10,true,0.04700,0.00237,0.07909,2.03220,0.00282,0.4537,0.4482,0.6145,0.00377,0.00110
10,high,0,12,20,0.20,true,0.04938,0.00242,0.08903,2.03979,0.00295,0.5053,0.3787,0.6429,0.01136,0.00156
10,high,0,12,20,0.30,true,0.05075,0.00245,0.10321,2.05265,0.00307,0.5599,0.3133,0.6823,0.02422,0.00196
10,high,0,12,20,0.40,true,0.05400,0.00253,0.12139,2.06763,0.00326,0.6210,0.2557,0.7332,0.03921,0.00236
10,high,0,12,20,0.50,true,0.05550,0.00256,0.14287,2.08769,0.00341,0.6836,0.2045,0.7915,0.05926,0.00268
10,high,0,12,20,0.60,true,0.05462,0.00254,0.16751,2.11331,0.00353,0.7504,0.1607,0.8568,0.08488,0.00295
10,high,0,12,20,0.70,true,0.05175,0.00248,0.19499,2.14379,0.00359,0.8179,0.1210,0.9278,0.11537,0.00318
10,high,0,12,20,0.80,true,0.05050,0.00245,0.22452,2.17474,0.00369,0.8943,0.0923,1.0055,0.14631,0.00343
10,high,0,12,20,0.90,true,0.04688,0.00236,0.25553,2.20956,0.00372,0.9738,0.0702,1.0859,0.18113,0.00361
10,high,0,12,20,1.00,true,0.04575,0.00234,0.28719,2.24257,0.00379,1.0564,0.0519,1.1713,0.21414,0.00379
10,high,0,12,20,1.10,true,0.04412,0.00230,0.31964,2.27692,0.00384,1.1446,0.0398,1.2600,0.24850,0.00396
10,high,0,12,20,1.20,true,0.04175,0.00224,0.35245,2.31242,0.00385,1.2338,0.0299,1.3503,0.28399,0.00408
10,hcp30,0,12,10,0.00,true,0.12687,0.00372,0.06347,1.93761,0.00419,0.4065,0.5588,0.4440,0.01269,0.00276
10,hcp30,0,12,10,0.10,true,0.14538,0.00394,0.06922,1.92500,0.00447,0.4659,0.4835,0.4645,0.00009,0.00187
10,hcp30,0,12,10,0.20,true,0.15700,0.00407,0.08045,1.92492,0.00470,0.5226,0.4084,0.4972,0.00000,0.00000
10,hcp30,0,12,10,0.30,true,0.16562,0.00416,0.09678,1.93309,0.00494,0.5852,0.3393,0.5438,0.00818,0.00194
10,hcp30,0,12,10,0.40,true,0.17125,0.00421,0.11778,1.94913,0.00517,0.6552,0.2824,0.6016,0.02421,0.00272
10,hcp30,0,12,10,0.50,true,0.17713,0.00427,0.14191,1.96822,0.00542,0.7217,0.2254,0.6692,0.04331,0.00329
10,hcp30,0,12,10,0.60,true,0.17938,0.00429,0.16910,1.99423,0.00564,0.7999,0.1842,0.7454,0.06931,0.00384
10,hcp30,0,12,10,0.70,true,0.17750,0.00427,0.19842,2.02669,0.00583,0.8769,0.1473,0.8261,0.10177,0.00430
10,hcp30,0,12,10,0.80,true,0.17613,0.00426,0.22950,2.06066,0.00601,0.9597,0.1173,0.9138,0.13575,0.00476
10,hcp30,0,12,10,0.90,true,0.17087,0.00421,0.26197,2.10018,0.00615,1.0462,0.0953,1.0037,0.17526,0.00513
10,hcp30,0,12,10,1.00,true,0.16500,0.00415,0.29446,2.14058,0.00626,1.1326,0.0766,1.0953,0.21566,0.00543
10,hcp30,0,12,10,1.10,true,0.15912,0.00409,0.32718,2.18145,0.00635,1.2202,0.0601,1.1902,0.25653,0.00573
10,hcp30,0,12,10,1.20,true,0.15138,0.00401,0.35978,2.22434,0.00640,1.3110,0.0488,1.2854,0.29942,0.00597
10,hcp30,0,12,15,0.00,true,0.07562,0.00296,0.15710,2.08538,0.00411,0.6118,0.5367,0.6706,0.00005,0.00141
10,hcp30,0,12,15,0.10,true,0.08188,0.00307,0.16300,2.08533,0.00426,0.6672,0.4865,0.6882,0.00000,0.00000
10,hcp30,0,12,15,0.20,true,0.08650,0.00314,0.17291,2.09114,0.00442,0.7221,0.4339,0.7165,0.00581,0.00153
10,hcp30,0,12,15,0.30,true,0.09025,0.00320,0.18610,2.10129,0.00458,0.7787,0.3836,0.7539,0.01596,0.00221
10,hcp30,0,12,15,0.40,true,0.09425,0.00327,0.20202,2.11412,0.00476,0.8429,0.3410,0.7995,0.02878,0.00276
10,hcp30,0,12,15,0.50,true,0.09463,0.00327,0.22123,2.13407,0.00489,0.9091,0.3019,0.8517,0.04874,0.00324
10,hcp30,0,12,15,0.60,true,0.09388,0.00326,0.24248,2.15742,0.00501,0.9762,0.2662,0.9096,0.07209,0.00366
10,hcp30,0,12,15,0.70,true,0.09325,0.00325,0.26518,2.18232,0.00513,1.0412,0.2308,0.9731,0.09698,0.00403
10,hcp30,0,12,15,0.80,true,0.09275,0.00324,0.28965,2.20908,0.00525,1.1190,0.2046,1.0436,0.12375,0.00443
10,hcp30,0,12,15,0.90,true,0.09125,0.00322,0.31511,2.23805,0.00536,1.1944,0.1788,1.1182,0.15272,0.00480
10,hcp30,0,12,15,1.00,true,0.08900,0.00318,0.34180,2.26929,0.00544,1.2735,0.1556,1.1986,0.18396,0.00517
10,hcp30,0,12,15,1.10,true,0.08662,0.00314,0.36842,2.30079,0.00551,1.3516,0.1340,1.2814,0.21545,0.00547
10,hcp30,0,12,15,1.20,true,0.08525,0.00312,0.39509,2.33155,0.00558,1.4275,0.1111,1.3691,0.24621,0.00578
10,hcp30,0,12,20,0.00,true,0.04838,0.00240,0.25143,2.21145,0.00411,0.8131,0.5212,0.8960,0.00000,0.00000
10,hcp30,0,12,20,0.10,true,0.05050,0.00245,0.25741,2.21577,0.00419,0.8640,0.4803,0.9145,0.00432,0.00124
10,hcp30,0,12,20,0.20,true,0.05187,0.00248,0.26609,2.22378,0.00428,0.9198,0.4417,0.9406,0.01233,0.00184
10,hcp30,0,12,20,0.30,true,0.05175,0.00248,0.27693,2.23565,0.00434,0.9786,0.4068,0.9719,0.02420,0.00229
10,hcp30,0,12,20,0.40,true,0.05200,0.00248,0.29016,2.24975,0.00442,1.0392,0.3722,1.0113,0.03830,0.00281
10,hcp30,0,12,20,0.50,true,0.05212,0.00249,0.30464,2.26542,0.00451,1.0973,0.3385,1.0551,0.05397,0.00320
10,hcp30,0,12,20,0.60,true,0.05125,0.00247,0.32086,2.28404,0.00458,1.1620,0.3095,1.1042,0.07258,0.00361
10,hcp30,0,12,20,0.70,true,0.04963,0.00243,0.33902,2.30561,0.00463,1.2266,0.2803,1.1594,0.09416,0.00402
10,hcp30,0,12,20,0.80,true,0.05125,0.00247,0.35739,2.32430,0.00476,1.3001,0.2568,1.2207,0.11285,0.00439
10,hcp30,0,12,20,0.90,true,0.04988,0.00243,0.37748,2.34798,0.00481,1.3695,0.2322,1.2854,0.13652,0.00475
10,hcp30,0,12,20,1.00,true,0.04850,0.00240,0.39815,2.37242,0.00486,1.4389,0.2085,1.3541,0.16097,0.00508
10,hcp30,0,12,20,1.10,true,0.04725,0.00237,0.41877,2.39687,0.00490,1.5093,0.1868,1.4255,0.18542,0.00537
10,hcp30,0,12,20,1.20,true,0.04650,0.00235,0.43963,2.42126,0.00494,1.5853,0.1686,1.5011,0.20981,0.00563
10,tour,1,12,10,0.00,true,0.28587,0.00505,0.00003,1.71415,0.00505,0.1634,0.6447,0.1964,0.13102,0.00484
10,tour,1,12,10,0.10,true,0.35613,0.00535,0.00010,1.64397,0.00535,0.2121,0.4403,0.2116,0.06083,0.00394
10,tour,1,12,10,0.20,true,0.39687,0.00547,0.00036,1.60349,0.00547,0.2726,0.2566,0.2610,0.02035,0.00266
10,tour,1,12,10,0.30,true,0.41800,0.00551,0.00114,1.58314,0.00553,0.3448,0.1229,0.3384,0.00000,0.00000
10,tour,1,12,10,0.40,true,0.41487,0.00551,0.00290,1.58803,0.00554,0.4277,0.0515,0.4287,0.00489,0.00220
